Jahr,Schadstoff,Einheit,Anzahl der gemessenen Werte,Wert
2013,Feinstaub - PM₂ι₅,µg/m³,28,16.282857142857143
2014,Feinstaub - PM₂ι₅,µg/m³,28,13.783571428571426
2015,Feinstaub - PM₂ι₅,µg/m³,28,14.142142857142856
2016,Feinstaub - PM₂ι₅,µg/m³,27,12.644074074074073
2017,Feinstaub - PM₂ι₅,µg/m³,28,13.403571428571428
2018,Feinstaub - PM₂ι₅,µg/m³,27,14.3
2019,Feinstaub - PM₂ι₅,µg/m³,28,11.592857142857143
2020,Feinstaub - PM₂ι₅,µg/m³,28,10.15
2021,Feinstaub - PM₂ι₅,µg/m³,28,10.610714285714286
2022,Feinstaub - PM₂ι₅,µg/m³,28,10.410714285714288
2023,Feinstaub - PM₂ι₅,µg/m³,61,9.245952888817579
2024,Feinstaub - PM₂ι₅,µg/m³,60,9.488333333333333
